City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain Fall,Snow Fall
153,Hamilton,39.18,-84.53,clear sky,51.8,34,1,10.29,US,2020-04-16 22:48:02,0.0,0.0
154,Zhucheng,35.99,119.4,clear sky,59.67,33,7,13.06,CN,2020-04-16 22:48:28,0.0,0.0
155,Maneadero,31.72,-116.57,clear sky,71.01,79,0,4.0,MX,2020-04-16 22:48:28,0.0,0.0
156,Ilulissat,69.22,-51.1,overcast clouds,33.8,55,88,16.11,GL,2020-04-16 22:44:21,0.0,0.0
157,Bathsheba,13.22,-59.52,scattered clouds,80.6,74,40,14.99,BB,2020-04-16 22:48:28,0.0,0.0
158,Konstantinovka,49.62,127.98,clear sky,55.58,34,0,6.55,RU,2020-04-16 22:48:28,0.0,0.0
159,Cabo San Lucas,22.89,-109.91,few clouds,84.99,41,20,6.93,MX,2020-04-16 22:48:29,0.0,0.0
160,Klamath Falls,42.22,-121.78,clear sky,61.0,21,1,12.75,US,2020-04-16 22:48:29,0.0,0.0
161,Provideniya,64.38,-173.3,light snow,30.2,80,90,13.42,RU,2020-04-16 22:47:58,0.0,0.0
162,Meulaboh,4.14,96.13,light rain,77.81,85,100,2.15,ID,2020-04-16 22:48:29,0.58,0.0
163,Kampen,52.55,5.91,overcast clouds,53.01,76,90,11.41,NL,2020-04-16 22:48:29,0.0,0.0
164,Niquero,20.04,-77.58,broken clouds,80.94,72,68,4.07,CU,2020-04-16 22:48:30,0.0,0.0
165,Zaysan,47.47,84.87,few clouds,40.73,49,19,3.22,KZ,2020-04-16 22:48:30,0.0,0.0
166,Walvis Bay,-22.96,14.51,few clouds,55.99,87,23,4.7,NA,2020-04-16 22:44:26,0.0,0.0
167,Green River,41.53,-109.47,clear sky,28.0,63,1,14.99,US,2020-04-16 22:48:30,0.0,0.0
168,Luderitz,-26.65,15.16,scattered clouds,57.2,82,41,19.46,NA,2020-04-16 22:48:31,0.0,0.0
169,Goderich,43.75,-81.72,broken clouds,39.0,69,69,10.69,CA,2020-04-16 22:48:31,0.0,0.0
170,Namatanai,-3.67,152.43,moderate rain,79.09,86,99,14.0,PG,2020-04-16 22:48:31,7.48,0.0
171,Acarau,-2.89,-40.12,light rain,77.88,89,47,6.35,BR,2020-04-16 22:48:31,1.49,0.0
