City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
76,Isangel,VU,2020-04-14 17:52:20,-19.55,169.27,78.51,77,100,11.7
77,Castro,BR,2020-04-14 17:50:54,-24.79,-50.01,68.86,53,89,7.23
78,Grand-Lahou,CI,2020-04-14 17:52:20,5.14,-5.02,84.38,75,12,9.04
79,Bathsheba,BB,2020-04-14 17:52:20,13.22,-59.52,86.0,58,40,20.8
80,Kavaratti,IN,2020-04-14 17:52:20,10.57,72.64,84.69,74,33,10.56
81,Ribeira Grande,PT,2020-04-14 17:52:21,38.52,-28.7,55.4,76,75,20.8
82,Khatanga,RU,2020-04-14 17:52:21,71.97,102.5,-5.08,90,5,6.13
83,Puerto Ayora,EC,2020-04-14 17:52:12,-0.74,-90.35,82.99,78,75,4.7
84,Marawi,PH,2020-04-14 17:52:21,8.0,124.29,67.73,67,2,2.59
85,Avarua,CK,2020-04-14 17:52:21,-21.21,-159.78,77.0,69,82,8.05
86,Mamakan,RU,2020-04-14 17:52:21,57.82,114.0,32.43,82,0,1.34
87,Santa Vitoria Do Palmar,BR,2020-04-14 17:52:22,-33.52,-53.37,61.79,81,93,21.09
88,Deshnok,IN,2020-04-14 17:52:22,27.8,73.34,89.02,11,86,10.27
89,Tabory,RU,2020-04-14 17:52:22,58.52,64.55,37.83,76,61,2.77
90,Marrakesh,MA,2020-04-14 17:52:22,31.63,-8.01,73.4,38,40,13.87
91,Broome,US,2020-04-14 17:52:22,42.25,-75.83,48.0,38,20,4.7
92,Gat,IL,2020-04-14 17:51:04,31.61,34.76,66.99,77,0,5.82
93,Barrow,US,2020-04-14 17:52:24,71.29,-156.79,12.2,85,90,5.82
94,Touros,BR,2020-04-14 17:52:25,-5.2,-35.46,89.6,55,40,10.29
95,Vaini,TO,2020-04-14 17:52:25,-21.2,-175.2,71.6,94,40,3.36
96,Cap-Aux-Meules,CA,2020-04-14 17:52:25,47.38,-61.86,48.2,70,75,24.16
97,Tasiilaq,GL,2020-04-14 17:52:13,65.61,-37.64,35.6,40,20,12.75
